entity_id	total_population	sinhalese	sl_tamil	ind_tamil	sl_moor	burgher	malay	sl_chetty	bharatha	other_eth
EC-02E	164580.0	155822.0	850.0	149.0	7443.0	107.0	117.0	6.0	9.0	77.0
EC-02F	178331.0	170776.0	909.0	147.0	5918.0	222.0	280.0	8.0	1.0	70.0
EC-02G	179565.0	155593.0	1020.0	595.0	21285.0	244.0	756.0	7.0	7.0	58.0
EC-02H	197667.0	195379.0	1053.0	218.0	230.0	477.0	209.0	12.0	3.0	86.0
EC-02I	201521.0	186086.0	8042.0	1236.0	853.0	3453.0	1239.0	120.0	45.0	447.0
EC-02J	207782.0	195127.0	2323.0	259.0	5471.0	812.0	3643.0	37.0	18.0	92.0
EC-02K	154005.0	150790.0	484.0	135.0	2304.0	93.0	82.0	1.0	58.0	58.0
EC-02L	186585.0	171103.0	1706.0	323.0	12172.0	425.0	701.0	24.0	8.0	123.0
EC-02M	137339.0	115069.0	8149.0	751.0	8696.0	978.0	3168.0	83.0	37.0	408.0
EC-03	1221948.0	1060107.0	23035.0	23217.0	113320.0	1188.0	689.0	36.0	43.0	313.0
EC-03A	160089.0	132271.0	1134.0	228.0	25709.0	283.0	374.0	5.0	13.0	72.0
EC-03B	183608.0	168832.0	570.0	1619.0	12204.0	240.0	112.0	6.0	2.0	23.0
EC-03C	167260.0	159318.0	2195.0	5345.0	116.0	164.0	56.0	1.0	25.0	40.0
EC-03D	109739.0	96981.0	4635.0	5772.0	2301.0	11.0	13.0	0.0	1.0	25.0
EC-03E	145246.0	127888.0	8729.0	5545.0	2957.0	65.0	29.0	0.0	0.0	33.0
EC-03F	159697.0	144894.0	1752.0	257.0	12402.0	281.0	65.0	13.0	2.0	31.0
EC-03G	164969.0	105883.0	1526.0	253.0	57058.0	135.0	28.0	10.0	0.0	76.0
EC-03H	131340.0	124040.0	2494.0	4198.0	573.0	9.0	12.0	1.0	0.0	13.0
EC-04	1375382.0	1023488.0	69210.0	85111.0	191570.0	2384.0	2444.0	91.0	33.0	1051.0
EC-04A	67628.0	62605.0	681.0	157.0	4072.0	52.0	41.0	3.0	1.0	16.0
EC-04B	207752.0	140704.0	3614.0	4314.0	58662.0	259.0	100.0	22.0	3.0	74.0
EC-04C	113136.0	75003.0	4004.0	13562.0	20223.0	182.0	122.0	0.0	11.0	29.0
EC-04D	74388.0	72110.0	910.0	862.0	493.0	7.0	2.0	1.0	0.0	3.0
EC-04E	61034.0	45813.0	4712.0	6477.0	3947.0	43.0	20.0	0.0	0.0	22.0
EC-04F	127070.0	104979.0	10228.0	4150.0	7075.0	226.0	283.0	3.0	4.0	122.0
EC-04G	88533.0	64607.0	7216.0	7666.0	8882.0	88.0	41.0	13.0	0.0	20.0
EC-04H	112393.0	88387.0	8439.0	3566.0	10577.0	524.0	591.0	24.0	4.0	281.0
EC-04I	49787.0	31990.0	6916.0	2056.0	7948.0	405.0	332.0	5.0	4.0	131.0
EC-04J	106027.0	95285.0	2565.0	426.0	7564.0	77.0	29.0	3.0	1.0	77.0
EC-04K	110905.0	80679.0	2082.0	905.0	27033.0	115.0	62.0	3.0	0.0	26.0
EC-04L	132286.0	82119.0	9211.0	17508.0	22766.0	168.0	393.0	4.0	0.0	117.0
EC-04M	124443.0	79207.0	8632.0	23462.0	12328.0	238.0	428.0	10.0	5.0	133.0
EC-05	484531.0	391305.0	24279.0	23238.0	44786.0	386.0	392.0	22.0	11.0	112.0
EC-05A	171913.0	156286.0	2238.0	836.0	12462.0	57.0	19.0	2.0	1.0	12.0
EC-05B	88131.0	82171.0	1955.0	3528.0	464.0	9.0	1.0	0.0	0.0	3.0
EC-05C	107677.0	73784.0	13405.0	3980.0	16021.0	196.0	219.0	6.0	5.0	61.0
EC-05D	116810.0	79064.0	6681.0	14894.0	15839.0	124.0	153.0	14.0	5.0	36.0
EC-06	711644.0	282053.0	32563.0	377637.0	17652.0	761.0	543.0	75.0	11.0	349.0
EC-06A	417817.0	86837.0	22982.0	296776.0	9862.0	537.0	483.0	49.0	11.0	280.0
EC-06B	101180.0	53200.0	4015.0	36827.0	6872.0	167.0	43.0	11.0	0.0	45.0
EC-06C	88528.0	76444.0	3092.0	8829.0	137.0	3.0	3.0	4.0	0.0	16.0
EC-06D	104119.0	65572.0	2474.0	35205.0	781.0	54.0	14.0	11.0	0.0	8.0
EC-07	1063334.0	1003722.0	13953.0	6146.0	38790.0	256.0	106.0	12.0	8.0	341.0
EC-07A	67432.0	66178.0	97.0	18.0	1106.0	3.0	13.0	0.0	1.0	16.0
EC-07B	91315.0	90989.0	207.0	58.0	17.0	12.0	7.0	2.0	2.0	21.0
EC-07C	92659.0	90542.0	1358.0	157.0	568.0	18.0	1.0	0.0	0.0	15.0
EC-07D	116143.0	112955.0	1489.0	473.0	1130.0	24.0	14.0	4.0	2.0	52.0
EC-07E	129339.0	123372.0	3888.0	2039.0	27.0	8.0	2.0	0.0	1.0	2.0
EC-07F	124988.0	117514.0	4496.0	2912.0	15.0	13.0	5.0	1.0	0.0	32.0
EC-07G	104333.0	103804.0	368.0	34.0	50.0	25.0	15.0	0.0	0.0	37.0
EC-07H	101749.0	67955.0	751.0	285.0	32611.0	86.0	34.0	2.0	1.0	24.0
EC-07I	128107.0	123422.0	1202.0	151.0	3242.0	33.0	4.0	1.0	0.0	52.0
EC-07J	107269.0	106991.0	97.0	19.0	24.0	34.0	11.0	2.0	1.0	90.0
EC-08	814048.0	767580.0	8772.0	12127.0	25254.0	131.0	58.0	6.0	11.0	109.0
EC-08A	134150.0	117701.0	6315.0	9968.0	145.0	5.0	8.0	0.0	2.0	6.0
EC-08B	114414.0	112090.0	514.0	948.0	855.0	2.0	2.0	0.0	0.0	3.0
EC-08C	120072.0	115625.0	1173.0	1034.0	2216.0	19.0	1.0	2.0	0.0	2.0
EC-08D	101741.0	100942.0	62.0	24.0	683.0	16.0	8.0	3.0	2.0	1.0
EC-08E	102925.0	99314.0	159.0	40.0	3388.0	6.0	5.0	0.0	1.0	12.0
EC-08F	115805.0	111039.0	304.0	22.0	4296.0	71.0	13.0	1.0	0.0	59.0
EC-08G	124941.0	110869.0	245.0	91.0	13671.0	12.0	21.0	0.0	6.0	26.0
EC-09	599903.0	582301.0	2105.0	120.0	6629.0	146.0	8164.0	17.0	3.0	418.0
EC-09A	126950.0	126046.0	87.0	10.0	795.0	7.0	3.0	0.0	0.0	2.0
EC-09B	97910.0	97500.0	102.0	17.0	269.0	8.0	6.0	0.0	0.0	8.0
EC-09C	156392.0	155341.0	255.0	16.0	733.0	18.0	18.0	1.0	2.0	8.0
EC-09D	218651.0	203414.0	1661.0	77.0	4832.0	113.0	8137.0	16.0	1.0	400.0
EC-10	697392.0	3615.0	687832.0	2837.0	2791.0	127.0	25.0	23.0	22.0	120.0
EC-10A	72726.0	598.0	71587.0	239.0	170.0	8.0	19.0	21.0	21.0	63.0
EC-10B	65023.0	141.0	64607.0	254.0	13.0	1.0	1.0	0.0	0.0	6.0
EC-10C	10003.0	10.0	9932.0	59.0	2.0	0.0	0.0	0.0	0.0	0.0
EC-10D	82501.0	368.0	81849.0	230.0	52.0	1.0	0.0	0.0	0.0	1.0
EC-10E	76997.0	183.0	76536.0	185.0	89.0	2.0	0.0	0.0	1.0	1.0
EC-10F	51768.0	143.0	51454.0	147.0	16.0	2.0	1.0	0.0	0.0	5.0
EC-10G	41527.0	186.0	41192.0	126.0	21.0	1.0	0.0	0.0	0.0	1.0
EC-10H	64704.0	156.0	64281.0	163.0	63.0	37.0	0.0	0.0	0.0	4.0
EC-10I	68142.0	293.0	67620.0	176.0	45.0	4.0	2.0	2.0	0.0	0.0
EC-10J	50491.0	206.0	48280.0	228.0	1691.0	70.0	0.0	0.0	0.0	16.0
EC-10K	113510.0	1331.0	110494.0	1030.0	629.0	1.0	2.0	0.0	0.0	23.0
EC-11	363823.0	28270.0	300354.0	4952.0	30005.0	119.0	30.0	1.0	1.0	91.0
EC-11A	99570.0	2305.0	80103.0	692.0	16436.0	12.0	11.0	1.0	0.0	10.0
EC-11B	172060.0	17083.0	141144.0	1979.0	11748.0	58.0	8.0	0.0	0.0	40.0
EC-11C	92193.0	8882.0	79107.0	2281.0	1821.0	49.0	11.0	0.0	1.0	41.0
EC-12	526567.0	6797.0	380930.0	2078.0	133854.0	2814.0	28.0	7.0	0.0	59.0
EC-12A	162149.0	1415.0	108346.0	461.0	51771.0	139.0	6.0	2.0	0.0	9.0
EC-12B	242663.0	3650.0	152865.0	1353.0	82061.0	2666.0	22.0	4.0	0.0	42.0
EC-12C	121755.0	1732.0	119719.0	264.0	22.0	9.0	0.0	1.0	0.0	8.0
EC-13	649402.0	252458.0	112457.0	846.0	281702.0	1036.0	187.0	5.0	0.0	711.0
EC-13A	221771.0	219994.0	348.0	29.0	666.0	62.0	180.0	1.0	0.0	491.0
EC-13B	114791.0	1596.0	19884.0	157.0	92901.0	119.0	2.0	2.0	0.0	130.0
EC-13C	99893.0	425.0	26630.0	207.0	72126.0	496.0	1.0	0.0	0.0	8.0
EC-13D	212947.0	30443.0	65595.0	453.0	116009.0	359.0	4.0	2.0	0.0	82.0
EC-14	379541.0	101483.0	116646.0	1227.0	158771.0	966.0	356.0	16.0	4.0	72.0
EC-14A	103849.0	74776.0	16206.0	134.0	12655.0	42.0	18.0	8.0	0.0	10.0
EC-14B	134252.0	22725.0	75001.0	862.0	34416.0	872.0	324.0	1.0	4.0	47.0
EC-14C	141440.0	3982.0	25439.0	231.0	111700.0	52.0	14.0	7.0	0.0	15.0
EC-15	1617287.0	1479185.0	18036.0	2594.0	114807.0	663.0	1220.0	119.0	40.0	623.0
EC-15A	127763.0	120260.0	596.0	17.0	6659.0	7.0	15.0	0.0	1.0	208.0
EC-15B	119583.0	109609.0	399.0	48.0	9486.0	12.0	6.0	2.0	0.0	21.0
EC-15C	141010.0	137116.0	362.0	29.0	3286.0	27.0	96.0	0.0	4.0	90.0
EC-15D	125098.0	115661.0	1068.0	66.0	8174.0	30.0	28.0	15.0	1.0	55.0
EC-15E	97642.0	95632.0	338.0	20.0	1593.0	39.0	6.0	1.0	0.0	13.0
EC-15F	96128.0	86646.0	379.0	47.0	9009.0	13.0	3.0	3.0	0.0	28.0
EC-15G	114580.0	106250.0	907.0	76.0	7279.0	33.0	5.0	3.0	1.0	26.0
EC-15H	124225.0	115623.0	1266.0	101.0	7118.0	39.0	37.0	21.0	8.0	12.0
EC-15I	131378.0	111082.0	1009.0	164.0	18963.0	61.0	72.0	11.0	2.0	14.0
EC-15J	119946.0	115863.0	596.0	60.0	3356.0	30.0	30.0	2.0	1.0	8.0
EC-15K	99495.0	91566.0	987.0	940.0	5806.0	33.0	126.0	11.0	5.0	21.0
EC-15L	115017.0	100799.0	3484.0	389.0	9471.0	195.0	594.0	8.0	17.0	60.0
EC-15M	116708.0	97064.0	4194.0	338.0	14699.0	123.0	194.0	37.0	0.0	59.0
EC-15N	88714.0	76014.0	2451.0	299.0	9908.0	21.0	8.0	5.0	0.0	8.0
EC-16	762396.0	560838.0	48341.0	1953.0	147546.0	1152.0	631.0	200.0	201.0	1534.0
EC-16A	220047.0	61116.0	29989.0	942.0	125720.0	734.0	412.0	14.0	2.0	1118.0
EC-16B	147182.0	136345.0	3364.0	95.0	7204.0	72.0	16.0	7.0	0.0	79.0
EC-16C	151434.0	134093.0	8835.0	208.0	7779.0	128.0	137.0	22.0	182.0	50.0
EC-16D	113223.0	103501.0	2755.0	252.0	6397.0	86.0	33.0	8.0	1.0	190.0
EC-16E	130510.0	125783.0	3398.0	456.0	446.0	132.0	33.0	149.0	16.0	97.0
EC-17	860575.0	782808.0	4728.0	477.0	70692.0	246.0	161.0	21.0	34.0	1408.0
EC-17A	117151.0	107186.0	344.0	25.0	9530.0	15.0	6.0	4.0	29.0	12.0
EC-17B	110279.0	90919.0	289.0	58.0	18978.0	15.0	4.0	1.0	0.0	15.0
EC-17C	137668.0	130552.0	596.0	45.0	6174.0	75.0	57.0	1.0	0.0	168.0
EC-17D	140272.0	130679.0	1198.0	67.0	8263.0	38.0	9.0	8.0	2.0	8.0
EC-17E	160127.0	151466.0	292.0	54.0	7115.0	19.0	4.0	3.0	0.0	1174.0
EC-17F	85760.0	75970.0	277.0	52.0	9346.0	36.0	66.0	0.0	2.0	11.0
EC-17G	109318.0	96036.0	1732.0	176.0	11286.0	48.0	15.0	4.0	1.0	20.0
EC-18	406088.0	368197.0	7301.0	161.0	30177.0	88.0	46.0	3.0	5.0	110.0
EC-18A	108204.0	107166.0	329.0	15.0	635.0	36.0	10.0	0.0	3.0	10.0
EC-18B	102027.0	90437.0	43.0	22.0	11509.0	6.0	1.0	1.0	0.0	8.0
EC-18C	195857.0	170594.0	6929.0	124.0	18033.0	46.0	35.0	2.0	2.0	92.0
EC-19	815405.0	595372.0	21880.0	150484.0	44716.0	992.0	1351.0	66.0	16.0	528.0
EC-19A	127394.0	125070.0	329.0	60.0	1865.0	12.0	0.0	0.0	0.0	58.0
EC-19B	65365.0	57399.0	775.0	6230.0	880.0	10.0	18.0	1.0	1.0	51.0
EC-19C	80188.0	40301.0	1757.0	34458.0	3485.0	45.0	115.0	19.0	1.0	7.0
EC-19D	75042.0	52546.0	3729.0	10980.0	7031.0	186.0	534.0	13.0	0.0	23.0
EC-19E	90571.0	58463.0	2739.0	25250.0	3409.0	126.0	383.0	2.0	1.0	198.0
EC-19F	77998.0	65325.0	1646.0	8740.0	2230.0	48.0	8.0	0.0	0.0	1.0
EC-19G	102802.0	72773.0	2351.0	10508.0	16951.0	176.0	19.0	5.0	1.0	18.0
EC-19H	110683.0	78283.0	5277.0	21403.0	5277.0	173.0	188.0	12.0	1.0	69.0
EC-19I	85362.0	45212.0	3277.0	32855.0	3588.0	216.0	86.0	14.0	11.0	103.0
EC-20	451058.0	428104.0	8206.0	5001.0	9508.0	116.0	63.0	15.0	0.0	45.0
EC-20A	107448.0	100417.0	669.0	385.0	5940.0	21.0	11.0	4.0	0.0	1.0
EC-20B	143663.0	131104.0	5806.0	4531.0	2109.0	61.0	34.0	1.0	0.0	17.0
EC-20C	199947.0	196583.0	1731.0	85.0	1459.0	34.0	18.0	10.0	0.0	27.0
EC-21	1088007.0	947811.0	54437.0	62124.0	22346.0	405.0	288.0	35.0	12.0	549.0
EC-21A	135158.0	122162.0	5926.0	2303.0	4711.0	24.0	19.0	3.0	1.0	9.0
EC-21B	156785.0	139206.0	8267.0	2631.0	6353.0	74.0	118.0	6.0	2.0	128.0
EC-21C	111240.0	89568.0	11686.0	9490.0	403.0	31.0	9.0	3.0	0.0	50.0
EC-21D	141040.0	114978.0	4970.0	14751.0	6095.0	166.0	52.0	2.0	2.0	24.0
EC-21E	134039.0	114184.0	8757.0	8040.0	2737.0	59.0	15.0	1.0	3.0	243.0
EC-21F	138256.0	113572.0	9368.0	13202.0	1948.0	34.0	41.0	14.0	2.0	75.0
EC-21G	90822.0	78231.0	4564.0	7963.0	38.0	1.0	16.0	0.0	1.0	8.0
EC-21H	180667.0	175910.0	899.0	3744.0	61.0	16.0	18.0	6.0	1.0	12.0
EC-22	840648.0	718369.0	17861.0	43748.0	59997.0	227.0	184.0	49.0	4.0	209.0
EC-22A	113056.0	103109.0	1568.0	2124.0	6191.0	30.0	17.0	3.0	0.0	14.0
EC-22B	84968.0	80070.0	705.0	2999.0	1142.0	5.0	5.0	20.0	1.0	21.0
EC-22C	88998.0	85178.0	822.0	1753.0	1132.0	29.0	66.0	1.0	0.0	17.0
EC-22D	82769.0	78949.0	802.0	186.0	2752.0	16.0	7.0	7.0	2.0	48.0
EC-22E	119029.0	81528.0	933.0	538.0	35926.0	55.0	24.0	7.0	0.0	18.0
EC-22F	63018.0	58431.0	1053.0	450.0	3063.0	9.0	4.0	0.0	0.0	8.0
EC-22G	97713.0	73975.0	3554.0	17247.0	2828.0	34.0	38.0	11.0	0.0	26.0
EC-22H	99127.0	84303.0	4802.0	3090.0	6834.0	30.0	20.0	0.0	1.0	47.0
EC-22I	91970.0	72826.0	3622.0	15361.0	129.0	19.0	3.0	0.0	0.0	10.0
LK	20357776.0	15249158.0	2269124.0	839475.0	1892138.0	38292.0	44130.0	5589.0	1713.0	18157.0
